source,label,snr_mean,snr_std,snr_max,snr_min,snr_cv,snr_above_threshold,doppler_mean,doppler_std,doppler_rate_mean,doppler_rate_max,doppler_jumps,doppler_jump_rate,tau_mean,tau_std,tau_rate_mean,tau_rate_std,prn_unique_count,prn_dominant,prn_dominant_ratio,power_mean,power_std,power_cv,snr_autocorr_lag1,snr_autocorr_lag10,in_phase_lag_mean,in_phase_lag_std,in_phase_lag_max,phase_jumps,phase_jump_rate,corr_width_mean,corr_width_std,corr_width_cv,spoofing_score
clean,0,4.989655893740194,0.1900428849119486,5.654385730210563,4.615275212834883,0.03808737294897794,0.0,-420.7920792079208,6115.526690264969,7595.0,19000,91,91.0,460.029702970297,295.7641918440085,225.23719999999997,267.30790093074313,31,16,6.9306930693069315,884.6974044245857,33.88687984091387,0.03830335623393647,-0.010029857917704775,-0.02764678987150616,223.00712871287126,265.98894296948015,506.0,100,99.00990099009901,15.03089108910891,4.420506242907475,0.2940947557068315,0
spoofed,1,5.0210308574937415,0.2019769003378462,5.634049058470274,4.719640760753779,0.040226181847976814,0.0,-940.5940594059406,5451.535858035775,5775.0,15000,93,93.0,543.1207920792078,298.8335372635274,262.0072,295.9490215831098,29,3,6.9306930693069315,820.8696848374627,32.86452172107821,0.04003622295734504,-0.06802073596963004,-0.10375609405293522,259.4130693069307,294.5104021067565,495.52,100,99.00990099009901,14.159999999999998,4.0620065275308175,0.28686486776347586,0
